IdentityReference,AccessControlType,FileSystemRights,IsInherited
kplumley26,Deny,ReadAndExecute,True
tduell27,Deny,FullControl,True
sedwinson28,Deny,ListFolderContents,False
nalbiston29,Deny,ListFolderContents,True
opatsall2a,Allow,FullControl,True
rgwalter2b,Deny,ListFolderContents,False
rclelland2c,Deny,ListFolderContents,False
oivasyushkin2d,Deny,Read,True
woswald2e,Allow,ReadAndExecute,False
ctoy2f,Deny,ReadAndExecute,True
ccluley2g,Allow,ListFolderContents,True
fmessenbird2h,Deny,ReadAndExecute,True
dditchburn2i,Deny,FullControl,True
jlongforth2j,Allow,Modify,True
awilfing2k,Deny,Read,False
lkesteven2l,Allow,Read,True
elancashire2m,Allow,ListFolderContents,True
fhorstead2n,Allow,ReadAndExecute,True
psabban2o,Deny,FullControl,True
mmcquilkin2p,Allow,ExecuteFile,True
zmcgurn2q,Allow,ListFolderContents,True
glightning2r,Allow,Read,True
dweeks2s,Allow,Write,True
jgiacovetti2t,Allow,ListFolderContents,False
tfleeming2u,Deny,ReadAndExecute,True
amarzella2v,Deny,FullControl,False
jubanks2w,Allow,Read,False
cwhate2x,Deny,Read,True
bpettyfar2y,Deny,Modify,False
clamprecht2z,Allow,Write,False
zrohmer30,Allow,Read,False
toffill31,Allow,Write,False
dbattlestone32,Allow,ReadAndExecute,True
ystevens33,Allow,ExecuteFile,False
pepilet34,Deny,ListFolderContents,True
hsolley35,Deny,Write,True
hpetrescu36,Deny,ExecuteFile,True
mgreenhalgh37,Deny,ListFolderContents,True
jhamill38,Deny,FullControl,False
emoyles39,Deny,ExecuteFile,True
dmccuis3a,Allow,Read,False
ovuitte3b,Allow,Read,True
mjaggli3c,Deny,FullControl,False
agrigolashvill3d,Allow,Modify,False
sdelahay3e,Deny,Modify,True
lfontaine3f,Deny,Modify,False
rheatlie3g,Allow,FullControl,True
tcardenas3h,Allow,ExecuteFile,True
sclements3i,Allow,ExecuteFile,False
amatus3j,Allow,ReadAndExecute,False
cstrood3k,Allow,ListFolderContents,True
pmacclay3l,Allow,ReadAndExecute,False
tsinnock3m,Allow,FullControl,True
dcobb3n,Allow,Read,True
kmaccoughen3o,Allow,Modify,True
ttomek3p,Allow,Modify,True
jclemmensen3q,Allow,ExecuteFile,False
hfaust3r,Allow,Modify,True
lpidgin3s,Deny,Modify,False
ewinspear3t,Deny,ListFolderContents,False
ktatteshall3u,Allow,ExecuteFile,False
mwheelband3v,Allow,ReadAndExecute,False
ngaish3w,Allow,Read,False
mhatherall3x,Deny,ExecuteFile,True
bweavers3y,Deny,ReadAndExecute,False
emistry3z,Deny,ListFolderContents,False
ppooke40,Deny,ReadAndExecute,True
sabry41,Deny,ExecuteFile,True
meggins42,Deny,Modify,True
qgoodright43,Deny,Modify,True
nnewns44,Deny,ExecuteFile,False
mleary45,Deny,Modify,False
dcordeix46,Allow,FullControl,False
twilsher47,Deny,Modify,True
dkuhl48,Allow,Modify,False
gcrippes49,Deny,FullControl,False
ncunniffe4a,Allow,ReadAndExecute,True
nstirton4b,Deny,ReadAndExecute,False
cdresse4c,Allow,Read,False
gpeers4d,Deny,FullControl,False
igrene4e,Deny,Read,False
lbuer4f,Allow,ExecuteFile,True
rstorror4g,Deny,Modify,True
gbrimicombe4h,Deny,Modify,True
cjahn4i,Allow,FullControl,True
tsimounet4j,Deny,Write,True
btraher4k,Deny,Modify,True
amacdearmid4l,Allow,ListFolderContents,False
dgreet4m,Deny,ListFolderContents,False
kscarrisbrick4n,Deny,Read,True
mrimour4o,Deny,Modify,True
jgercke4p,Allow,Modify,True
hfenge4q,Deny,FullControl,True
ahallex4r,Deny,ListFolderContents,False
jcolleymore4s,Deny,FullControl,True
awingate4t,Deny,ExecuteFile,False
oseabridge4u,Allow,FullControl,False
rjillis4v,Allow,Write,False
gcatterill4w,Deny,Modify,False
bvreiberg4x,Deny,ExecuteFile,True
bmirams4y,Allow,ReadAndExecute,False
cdagleas4z,Deny,Modify,False
bolorenshaw50,Deny,ReadAndExecute,False
egieves51,Allow,Write,False
pdominighi52,Deny,ReadAndExecute,False
efreiburger53,Deny,ExecuteFile,False
nshurey54,Allow,ReadAndExecute,True
rmanuello55,Allow,Modify,True
ggiorgi56,Allow,Read,False
gvarley57,Allow,Write,False
tendle58,Allow,Write,False
tmassen59,Deny,ReadAndExecute,True
htinniswood5a,Allow,FullControl,False
lpeasby5b,Allow,ReadAndExecute,False
lhawking5c,Allow,FullControl,True
tcoleson5d,Allow,ListFolderContents,True
vmcgooch5e,Deny,ReadAndExecute,False
agodlip5f,Deny,ListFolderContents,True
bkrystof5g,Deny,ListFolderContents,False
kvossgen5h,Allow,ExecuteFile,False
slamboll5i,Allow,Modify,True
cseamark5j,Deny,FullControl,False
snoquet5k,Deny,Read,True
swhatling5l,Allow,Modify,False
amurfin5m,Allow,Modify,False
lwoodroof5n,Deny,ReadAndExecute,True
ezumbusch5o,Allow,ListFolderContents,False
rspere5p,Allow,Modify,False
eoscully5q,Allow,ExecuteFile,False
croderigo5r,Allow,FullControl,False
cwoodage5s,Deny,Read,True
charry5t,Deny,Read,False
rphelps5u,Allow,Read,False
rlogesdale5v,Deny,ExecuteFile,False
smcgrayle5w,Deny,Modify,False
cbehninck5x,Deny,Read,False
fmcmeanma5y,Allow,FullControl,False
rbradnocke5z,Deny,Write,True
rilchenko60,Deny,Modify,False
okingcott61,Allow,Read,False
vfrancecione62,Deny,Modify,False
pivanovic63,Allow,ListFolderContents,False
csharnock64,Deny,Modify,True
anewlove65,Allow,Read,True
mdurrans66,Deny,Read,False
khebbes67,Deny,FullControl,False
rlicquorish68,Allow,ListFolderContents,False
gbedminster69,Allow,Read,True
amcdade6a,Allow,Modify,True
kbenkhe6b,Deny,ListFolderContents,True
rweddeburnscrimgeour6c,Deny,ReadAndExecute,True
flovell6d,Allow,Modify,True
uocorr6e,Deny,ExecuteFile,False
jgolda6f,Allow,Modify,True
rmcilvaney6g,Deny,Read,True
hlebarr6h,Deny,ReadAndExecute,True
dleifer6i,Allow,Read,False
mbeidebeke6j,Allow,Read,False
pportis6k,Deny,ListFolderContents,True
idiangelo6l,Allow,Write,False
kmaillard6m,Allow,ReadAndExecute,True
djerzykiewicz6n,Allow,ReadAndExecute,True
emcloughlin6o,Allow,ReadAndExecute,True
kdulwich6p,Deny,FullControl,False
mcleevely6q,Deny,FullControl,False
bpresnall6r,Deny,ReadAndExecute,False
cweigh6s,Allow,Read,False
jovanesian6t,Deny,ListFolderContents,False
bstove6u,Allow,Write,True
aminghella6v,Allow,ReadAndExecute,False
bchalkly6w,Allow,Read,False
hwarcop6x,Deny,ListFolderContents,False
tderuggiero6y,Allow,Modify,True
cjudkin6z,Deny,ReadAndExecute,False
atrevan70,Allow,Write,True
bhaill71,Allow,Modify,False
cwildes72,Allow,FullControl,True
fjakoubek73,Allow,ExecuteFile,False
ablaymires74,Allow,ExecuteFile,False
cstitcher75,Deny,Read,False
rnoton76,Deny,ExecuteFile,False
sgaine77,Allow,ExecuteFile,False
agrandison78,Allow,FullControl,True
zlaugheran79,Allow,FullControl,False
jomulderrig7a,Deny,FullControl,False
tsphinxe7b,Deny,Read,True
kberthod7c,Deny,ListFolderContents,True
bkeatch7d,Allow,ReadAndExecute,True
fbecke7e,Deny,Write,False
rhayers7f,Allow,FullControl,False
kmacdunlevy7g,Allow,ListFolderContents,False
gchasier7h,Deny,FullControl,True
fsimionescu7i,Deny,ReadAndExecute,False
yyes7j,Allow,Write,False
mlively7k,Allow,Read,False
fstobart7l,Allow,FullControl,True
cbriar7m,Deny,ListFolderContents,False
skohneke7n,Deny,ReadAndExecute,False
gsauter7o,Deny,Write,False
gledram7p,Deny,ReadAndExecute,False
mleipelt7q,Allow,ReadAndExecute,False
pbeek7r,Allow,Write,False
bellick7s,Deny,FullControl,False
klorant7t,Allow,ListFolderContents,False
lgammie7u,Allow,ExecuteFile,False
gpfeiffer7v,Allow,Write,True
jiveagh7w,Deny,ExecuteFile,False
mmaslen7x,Allow,FullControl,False
wlukehurst7y,Allow,Modify,False
kcarde7z,Deny,ListFolderContents,False
cway80,Deny,FullControl,False
dkulis81,Allow,FullControl,True
rrojel82,Allow,ReadAndExecute,False
lhalpeine83,Deny,Modify,True
rrickaert84,Allow,Modify,True
ecassy85,Deny,ListFolderContents,True
tdeatta86,Deny,Write,False
smurton87,Allow,ReadAndExecute,True
dsvanini88,Allow,FullControl,False
ehowland89,Allow,FullControl,False
wmapledorum8a,Deny,Modify,True
akeeney8b,Deny,ListFolderContents,False
rcardenosa8c,Allow,Write,False
bcumbes8d,Allow,ReadAndExecute,True
wdict8e,Deny,Write,False
pgolde8f,Deny,ExecuteFile,False
rcromer8g,Deny,Modify,True
rkulis8h,Deny,Read,False
tnormadell8i,Allow,Read,True
speffer8j,Allow,Write,False
dpaulton8k,Allow,Read,True
bdelgardillo8l,Deny,ExecuteFile,True
sfatscher8m,Deny,Write,True
slissemore8n,Deny,ExecuteFile,True
dperfect8o,Allow,ReadAndExecute,True
mmiell8p,Allow,ListFolderContents,True
mgalle8q,Allow,Modify,False
adeabill8r,Allow,FullControl,True
sjory8s,Allow,ReadAndExecute,True
ereboulet8t,Allow,ExecuteFile,False
nhennemann8u,Deny,FullControl,True
bprattin8v,Allow,ReadAndExecute,False
asijmons8w,Deny,Read,False
gklimecki8x,Allow,Read,True
hbirtle8y,Deny,Write,False
htofpik8z,Deny,Read,False
sbroadwell90,Allow,Modify,False
ccomusso91,Allow,ExecuteFile,True
ijanczewski92,Deny,FullControl,False
sleonardi93,Allow,FullControl,False
plamblot94,Deny,ReadAndExecute,True
wcamier95,Deny,ListFolderContents,True
paxelbey96,Allow,ListFolderContents,False
ghogbin97,Deny,Modify,False
kripper98,Allow,Read,True
mringer99,Deny,ReadAndExecute,True
nizatson9a,Allow,Read,True
kruppertz9b,Deny,FullControl,False
sbaxstar9c,Deny,Modify,True
lduckham9d,Deny,Write,True
bfilby9e,Allow,Modify,False
cpitchers9f,Deny,Read,False
madamou9g,Allow,ListFolderContents,True
ncalabry9h,Deny,ExecuteFile,False
rmainston9i,Deny,ExecuteFile,True
ereinhardt9j,Allow,ListFolderContents,False
cnanelli9k,Deny,Read,False
frobotham9l,Allow,Write,True
pcardwell9m,Deny,Modify,True
cstroton9n,Deny,ListFolderContents,True
crunciman9o,Allow,ExecuteFile,False
cdymoke9p,Allow,ReadAndExecute,True
rcoode9q,Deny,FullControl,False
mkeppe9r,Deny,ExecuteFile,True
ebeetham9s,Deny,FullControl,False
randretti9t,Allow,Modify,False
wroly9u,Allow,FullControl,True
elilburne9v,Deny,ExecuteFile,True
mcowterd9w,Allow,Read,True
cmcinility9x,Allow,ExecuteFile,False
nlavery9y,Deny,Write,True
cbate9z,Allow,ListFolderContents,True
upetrollia0,Deny,Write,True
mhurdisa1,Allow,Write,True
schuea2,Deny,ReadAndExecute,True
vpincotta3,Deny,Read,True
rrodsona4,Allow,ReadAndExecute,True
wdrummera5,Allow,Write,False
vmackartana6,Allow,Modify,True
awitseya7,Allow,Write,False
ehaytera8,Deny,ReadAndExecute,False
tthyera9,Deny,Write,False
eharesnapeaa,Deny,Modify,False
lboulterab,Allow,FullControl,True
bmcclurgac,Deny,ExecuteFile,True
tsteddallad,Allow,Modify,False
kparisae,Deny,Write,False
cstallworthyaf,Deny,Read,True
dklulicekag,Deny,Read,False
cfennerah,Allow,ListFolderContents,False
hhaulkhamai,Deny,FullControl,False
sculpaj,Allow,Read,True
bklosterak,Allow,ListFolderContents,False
lmealeal,Deny,ListFolderContents,True
lswindlehurstam,Deny,ReadAndExecute,False
bclaveyan,Deny,ReadAndExecute,True
sjonesao,Allow,Write,False
btomkinsap,Deny,Modify,True
iparrisaq,Allow,ExecuteFile,False
thicklingbottomar,Deny,Write,False
rmargramas,Deny,ListFolderContents,False
lanticat,Deny,ReadAndExecute,True
gcogleau,Deny,ReadAndExecute,False
lshepherdsonav,Allow,FullControl,True
evaaraw,Allow,Write,False
salonsoax,Deny,ReadAndExecute,False
clatteray,Deny,Read,False
bclaraaz,Allow,Modify,True
jhedderlyb0,Deny,Modify,False
gthreadkellb1,Allow,Write,True
fjaeggib2,Allow,Modify,False
lrhydderchb3,Deny,Write,True
cjerratschb4,Allow,FullControl,False
bhatonb5,Allow,Read,False
hcouldwellb6,Deny,ExecuteFile,False
jbaythropb7,Allow,Write,True
cmaggorinib8,Deny,ExecuteFile,False
akystonb9,Deny,Modify,True
abenkheba,Deny,ListFolderContents,False
calbersbb,Allow,FullControl,True
mtummonsbc,Deny,Read,True
fcoopbd,Deny,FullControl,False
sfigurabe,Deny,ReadAndExecute,False
levershedbf,Deny,ReadAndExecute,True
jmckaguebg,Deny,ListFolderContents,True
vchattelainebh,Allow,Write,False
jtakosbi,Deny,Write,False
tmayzesbj,Allow,Write,True
gvanschafflaerbk,Deny,ExecuteFile,True
aschankebl,Allow,ReadAndExecute,False
wbullantbm,Deny,FullControl,False
kparysiakbn,Allow,ListFolderContents,False
gpinckneybo,Allow,FullControl,True
taxebp,Deny,FullControl,True
lhaddrillbq,Deny,FullControl,True
dgainsfordbr,Deny,ReadAndExecute,False
adinesenbs,Deny,ListFolderContents,True
kkeransbt,Allow,Modify,False
baizikowitzbu,Allow,ReadAndExecute,True
rdenisobv,Deny,Write,False
dseeksbw,Allow,ListFolderContents,True
rcradeybx,Allow,Read,True
asizzeyby,Deny,Write,True
jfakebz,Deny,ReadAndExecute,True
dhurseyc0,Deny,Read,True
gtommasettic1,Allow,ReadAndExecute,True
crosengartenc2,Allow,ReadAndExecute,True
ryorkec3,Deny,ReadAndExecute,True
gmcilheranc4,Allow,ListFolderContents,True
fdeminicoc5,Deny,Write,True
rjimenoc6,Deny,Modify,True
rtoffalonic7,Deny,ReadAndExecute,False
tskirvingc8,Allow,Read,True
ameddingsc9,Allow,Write,True
jsiseyca,Deny,ExecuteFile,True
ubridgescb,Allow,FullControl,False
rwardscc,Deny,ReadAndExecute,True
lconwellcd,Deny,ListFolderContents,True
dpopovce,Deny,ReadAndExecute,True
dgabbidoncf,Allow,Modify,False
tjoannetcg,Deny,Modify,False
jmosconch,Allow,FullControl,False
cgostickci,Allow,Modify,True
dkislingburycj,Deny,ExecuteFile,False
kvanellick,Allow,ListFolderContents,True
bcucinottacl,Deny,FullControl,True
cenderbycm,Allow,Modify,False
zfourcadecn,Allow,Modify,True
nkitchingmanco,Allow,Modify,False
mmcanenycp,Allow,ListFolderContents,False
apownercq,Deny,Read,False
egreensallcr,Allow,ReadAndExecute,False
abrighousecs,Deny,ListFolderContents,False
rvanesct,Allow,ListFolderContents,False
dsabiecu,Allow,Read,True
bscawtoncv,Allow,ListFolderContents,True
lgribbellcw,Deny,Modify,False
randrichcx,Deny,FullControl,True
sschultheisscy,Allow,FullControl,True
frawlingcz,Allow,ListFolderContents,True
erentolld0,Allow,ReadAndExecute,True
wwehnerrd1,Deny,ReadAndExecute,False
pondracekd2,Deny,Write,False
astickneyd3,Allow,Write,False
lmewd4,Deny,Write,False
jovelld5,Deny,Write,True
bstubbleyd6,Allow,ExecuteFile,False
tbelascod7,Deny,ListFolderContents,True
llandalld8,Allow,Read,True
cmuckiand9,Deny,ReadAndExecute,True
enanuccioida,Allow,Write,False
gswafforddb,Deny,ListFolderContents,False
llabbeydc,Allow,ReadAndExecute,True
wwintersgilldd,Allow,Write,True
lginglellde,Deny,Read,False
bchittockdf,Deny,ExecuteFile,True
nmelarkeydg,Allow,Write,True
pbrockleydh,Deny,FullControl,True
wmacalisterdi,Deny,ListFolderContents,False
arysdaledj,Allow,Read,False
aodreaindk,Allow,Modify,True
mainscowdl,Deny,ReadAndExecute,True
abealtondm,Deny,Write,False
mmyerscoughdn,Deny,FullControl,True
rmacgowando,Deny,Modify,False
nforlongedp,Deny,ReadAndExecute,False
smattackdq,Deny,ListFolderContents,True
bwestbergdr,Allow,ExecuteFile,True
bhanabyds,Deny,Read,False
gcowlindt,Allow,Write,True
djozwiakdu,Deny,ExecuteFile,False
wakselldv,Deny,ExecuteFile,True
ploadedw,Deny,FullControl,True
sspuffarddx,Deny,Read,True
acutforddy,Deny,Modify,True
evanyukhindz,Deny,ListFolderContents,False
tperegrinee0,Deny,FullControl,True
fvalintinee1,Deny,ExecuteFile,True
aworstere2,Deny,FullControl,False
smackeee3,Allow,ExecuteFile,False
wmyrkuse4,Deny,Read,False
cstrattane5,Allow,FullControl,False
fchalonere6,Allow,ListFolderContents,True
mhayesmane7,Allow,FullControl,False
sgerrelse8,Deny,Modify,True
bboge9,Allow,ReadAndExecute,False
mferraronea,Allow,Write,True
dbisatteb,Deny,ExecuteFile,True
cpopelayec,Allow,ListFolderContents,False
amartinsoned,Deny,FullControl,True
ctappingtonee,Allow,ExecuteFile,False
nyorathef,Deny,Read,True
jcummineeg,Deny,ListFolderContents,False
bdunphyeh,Allow,Read,True
rtumbridgeei,Deny,Write,False
pmargarsonej,Deny,ListFolderContents,True
mgormanek,Allow,ListFolderContents,False
grollerel,Deny,Modify,True
omclewdem,Allow,Read,True
jmccannen,Deny,FullControl,True
nstilingeo,Allow,ReadAndExecute,False
tkienleinep,Allow,Modify,True
vjohnkeeq,Allow,ListFolderContents,True
saaroner,Allow,Write,False
lconnowes,Deny,FullControl,True
tblakewayet,Allow,ReadAndExecute,False
xbuzineeu,Deny,Read,False
bfelderev,Deny,Read,True
mplowellew,Allow,FullControl,False
nlongstaffeex,Allow,ExecuteFile,True
jbenediktssoney,Allow,Modify,True
thawksworthez,Deny,Read,True
asummerlyf0,Deny,Write,True
rgreenf1,Allow,FullControl,False
jwharinf2,Deny,ExecuteFile,True
ncampanellif3,Allow,ExecuteFile,False
pguildfordf4,Allow,Write,True
bcottillf5,Allow,Write,False
kyeandelf6,Allow,ReadAndExecute,False
dgerriessenf7,Allow,ListFolderContents,True
dpatinkinf8,Deny,ReadAndExecute,True
blewsleyf9,Deny,Write,False
cplessingfa,Allow,Read,False
bfeaversfb,Deny,FullControl,False
emaylorfc,Allow,ListFolderContents,False
ldelacifd,Allow,ListFolderContents,False
kraatzfe,Deny,Modify,False
aleborgneff,Allow,ReadAndExecute,True
jstraussfg,Allow,Write,True
cjallinfh,Allow,FullControl,True
abroadistfi,Deny,ReadAndExecute,False
npuckhamfj,Deny,FullControl,False
wkitefk,Allow,Read,False
dlitherboroughfl,Deny,FullControl,False
hbeazefm,Allow,ExecuteFile,True
dbownesfn,Deny,Write,True
gduhigfo,Allow,ListFolderContents,False
sfittonfp,Deny,ReadAndExecute,True
cgasnellfq,Deny,Read,True
nbonifasfr,Deny,Write,False
vpicklesfs,Deny,ReadAndExecute,False
ddoigft,Allow,ListFolderContents,False
vpartingtonfu,Deny,Read,False
kboutellierfv,Deny,Read,False
kmonroefw,Allow,Modify,True
cbagnalfx,Deny,FullControl,True
dbickertonfy,Deny,FullControl,True
gernifz,Deny,Write,True
krodsong0,Allow,Modify,True
gjiroutkag1,Allow,ReadAndExecute,False
gskuneg2,Deny,ReadAndExecute,False
hsomerledg3,Deny,Read,False
acabedog4,Deny,FullControl,False
bboolsg5,Deny,Read,True
mminguetg6,Deny,ListFolderContents,False
ygrigsong7,Deny,Read,True
scrosswaiteg8,Deny,Read,True
jcolebrookg9,Allow,FullControl,True
ebowcockga,Allow,ExecuteFile,False
ndobbygb,Allow,Write,True
unappergc,Allow,Read,True
tbroadfootgd,Allow,Read,False
adannege,Allow,ExecuteFile,False
mhendrickgf,Deny,Modify,True
bnickellgg,Allow,ExecuteFile,True
mvonsalzberggh,Deny,ListFolderContents,True
scesconigi,Allow,ListFolderContents,False
eblaasegj,Deny,Read,False
ahucquartgk,Allow,FullControl,True
jgerardgl,Allow,Modify,True
mrockinghamgm,Allow,ReadAndExecute,True
tellingn,Deny,ExecuteFile,True
kescreetgo,Allow,Write,False
ideandisiegp,Allow,ListFolderContents,True
tpatricksongq,Allow,ReadAndExecute,False
slarcieregr,Deny,Write,False
khaygs,Deny,FullControl,True
dklambtgt,Deny,Modify,False
chuggangu,Deny,ReadAndExecute,True
glavissgv,Deny,FullControl,True
sslopiergw,Allow,ListFolderContents,True
ehelwiggx,Deny,FullControl,True
kenglandgy,Deny,ReadAndExecute,True
gfrostgz,Allow,Modify,False
cfergieh0,Deny,ListFolderContents,False
fandrichakh1,Deny,ExecuteFile,False
dmcmoyerh2,Allow,Modify,False
tdomekh3,Deny,ExecuteFile,True
dboughtwoodh4,Deny,FullControl,False
srochfordh5,Allow,Modify,True
cgreenroah6,Allow,Modify,False
istonaryh7,Deny,ReadAndExecute,False
mtivenanh8,Allow,ListFolderContents,False
gnewgroshh9,Deny,Write,False
hnorthenha,Deny,FullControl,True
gcutbushhb,Deny,FullControl,True
ashintonhc,Deny,Read,True
jbriiginshawhd,Allow,Write,True
rnuzztihe,Deny,ListFolderContents,True
hclaydenhf,Allow,Write,False
headyhg,Deny,ReadAndExecute,True
klakerhh,Deny,ReadAndExecute,False
ashimwallhi,Allow,ListFolderContents,False
lfogelhj,Deny,FullControl,False
lzaninihk,Deny,Write,False
hfirkshl,Deny,ReadAndExecute,False
bdawkshm,Allow,ListFolderContents,True
mkittleshn,Allow,ExecuteFile,False
jfelliniho,Deny,Write,True
cjorgensenhp,Allow,Read,False
apolettohq,Deny,Read,True
anottlehr,Allow,Write,True
hstillmannhs,Deny,Write,False
echapellht,Allow,Write,True
mchiswellhu,Allow,ExecuteFile,False
vboyenhv,Deny,Read,True
dtopleyhw,Deny,ExecuteFile,False
epricketthx,Deny,ExecuteFile,True
modoranhy,Deny,Write,False
fgreenwellhz,Deny,Write,False
kthairsi0,Allow,Write,True
rericsseni1,Allow,ExecuteFile,False
igerdesi2,Allow,ExecuteFile,False
dedwardsoni3,Allow,Read,True
cgallamorei4,Allow,ListFolderContents,False
rdadsoni5,Allow,Read,False
rantonellii6,Allow,FullControl,False
wbonevanti7,Deny,ReadAndExecute,False
nsharplessi8,Deny,ListFolderContents,False
idunbari9,Allow,ExecuteFile,True
crankcomia,Deny,ReadAndExecute,True
oneagleib,Allow,FullControl,False
bfilkovic,Allow,Read,True
mrentollid,Allow,FullControl,False
bbythellie,Allow,Modify,False
rboskellif,Deny,FullControl,True
mhasslocherig,Allow,Write,False
rkilleih,Allow,ExecuteFile,True
valesii,Deny,Read,True
dgauntij,Deny,ReadAndExecute,True
ucleynaertik,Deny,Write,True
gtucknuttil,Deny,FullControl,True
ctollerfieldim,Allow,ListFolderContents,True
mnolanin,Deny,ListFolderContents,False
knootio,Allow,Write,False
rsatterfittip,Deny,Modify,True
lgawthorpeiq,Allow,FullControl,True
mchiddyir,Deny,Write,False
acardis,Allow,ReadAndExecute,True
dhatreyit,Deny,ExecuteFile,True
jlemoniu,Deny,Modify,False
bchristofferseniv,Deny,ListFolderContents,False
mcatlingiw,Allow,FullControl,False
rbeckettix,Deny,ListFolderContents,False
abauldreyiy,Allow,Write,True
btownrowiz,Deny,Modify,True
lhuniwallj0,Deny,ExecuteFile,True
zwellumj1,Allow,ExecuteFile,True
sgazzardj2,Allow,FullControl,True
cmocquerj3,Deny,Write,True
kdurbanj4,Allow,ListFolderContents,False
fbeatsonj5,Deny,ReadAndExecute,True
cmcgeeverj6,Deny,FullControl,True
hgrievej7,Deny,Modify,False
abarfordj8,Deny,ExecuteFile,True
mhebardj9,Allow,Write,True
ikilrowja,Allow,Modify,False
ddilliwayjb,Allow,ListFolderContents,False
rkingslyjc,Deny,ListFolderContents,True
amacfarlanjd,Deny,Modify,False
mingletonje,Deny,Modify,True
sduffriejf,Allow,ExecuteFile,False
bcharettejg,Allow,Read,False
rmarlinjh,Deny,Write,True
ldareyji,Allow,Write,False
dfaraharjj,Deny,Read,False
tmorsleyjk,Allow,FullControl,True
lgherardescijl,Allow,Modify,True
gboggsjm,Deny,FullControl,True
gmutchjn,Allow,ExecuteFile,True
ucheccuzzijo,Allow,FullControl,False
ykinkaidjp,Deny,FullControl,False
vridettjq,Deny,ReadAndExecute,True
lharteleyjr,Deny,ReadAndExecute,True
mweinejs,Allow,Read,True
abartenjt,Allow,FullControl,True
awestollju,Allow,ExecuteFile,True
mglitherowjv,Deny,Read,False
ltrembleyjw,Allow,Read,False
mreynaultjx,Deny,Write,False
gbooseyjy,Deny,ListFolderContents,True
mmullisjz,Deny,Read,False
cboeterk0,Deny,Modify,True
yluxtonk1,Deny,FullControl,True
yanthoniesk2,Deny,Write,True
rbamptonk3,Deny,Write,False
agoodek4,Allow,FullControl,True
habendrothk5,Allow,ExecuteFile,False
nwinesk6,Deny,ListFolderContents,False
jhackink7,Allow,Write,False
cdanterk8,Deny,ExecuteFile,True
cchatelaink9,Allow,FullControl,True
fhansenka,Allow,FullControl,False
bivanyushinkb,Deny,ListFolderContents,True
wwhiskinkc,Deny,ListFolderContents,True
mnoirelkd,Deny,ExecuteFile,False
hloreyke,Allow,FullControl,True
